game,off1,off2,off3,result,style,location,type,type-sort,box,rtg
UNC 71 | Gonzaga 65,Mike Eades,Verne Harris,Michael Stephens,win,99ffb2,neutral,NCAA Tournament Title,4,/boxes/2017/unc-71-zags-65,
UNC 77 | Oregon 76,Tony Padilla,Ted Valentine,Ron Groover,win,99ffb2,neutral,NCAA Tournament Final 4,4,/boxes/2017/unc-77-oregon-76,
UNC 75 | Kentucky 73,John Higgins,Keith Kimble,Mike Reed,win,99ffb2,neutral,NCAA Tournament Elite 8,4,/boxes/2017/unc-75-kentucky-73,
UNC 92 | Butler 80,Doug Shows,Lamar Simpson,Joe Lindsay,win,99ffb2,neutral,NCAA Tournament Sweet 16,4,/boxes/2017/unc-92-butler-80,
UNC 72 | Arkansas 65,Bo Boroski,Lamont Simpson,Darron George,win,99ffb2,neutral,NCAA Tournament 2nd Round,4,/boxes/2017/unc-72-ark-65,
UNC 103 | Texas Southern 64,Mike Reed,Paul Faia,Les Jones,win,99ffb2,neutral,NCAA Tournament 1st Round,4,/boxes/2017/unc-103-ts-64,
Duke 93 | UNC 83,Brian Dorsey,Bill Covington Jr.,Ron Groover,loss,ffbfb2,neutral,ACC Tournament,3,/boxes/2017/duke-93-unc-83/,
UNC 78 | Miami 53,Roger Ayers,Tim Nestor,Jerry Heater,win,99ffb2,neutral,ACC Tournament,3,/boxes/2017/unc-78-um-53.pdf,
UNC 90 | Duke 83,Ron Groover,Tim Nestor,Les Jones,win,99ffb2,home,Conference,2,/boxes/2017/unc-90-duke-83,90
UVA 53 | UNC 43,Michael Roberts,Doug Shows,Tony Chiazza,loss,ffbfb2,away,Conference,2,/boxes/2017/uva-53-unc-43,62
UNC 85 | Pitt 67,Mike Eades,James Breeding,Jeff Clark,win,99ffb2,away,Conference,2,/boxes/2017/unc-85-pitt-67,59
UNC 74 | Louisville 63,Ron Groover,Pat Driscoll,John Gaffney,win,99ffb2,home,Conference,2,/boxes/2017/unc-74-ville-63,30
UNC 65 | UVA 41,Brian O'Connell,Tim Clougherty,Doug Sirmons,win,99ffb2,home,Conference,2,/boxes/2017/unc-65-uva-41,118
UNC 97 | North Carolina State 73,Les Jones,James Breeding,Bert Smith,win,99ffb2,away,Conference,2,/boxes/2017/unc-97-ncsu-73/,80
Duke 86 | UNC 78,Roger Ayers,Mike Eades,Michael Roberts,loss,ffbfb2,away,Conference,2,/boxes/2017/duke-86-unc-78/,11
