Box Score	Location ↑↓	Ref 1	Ref 2	Ref 3						
UNC 83 | Notre Dame 76	neutral	Jamie Luckie 	Bill Covington Jr.	Clarence Armstrong	51.14	32.26	36.51	119.91		125.9883333
UNC 80 | Pitt 78	home	Ted Valentine	Lee Cassell	Lamar Simpson	50.33	42.41	31.74	124.48		
Miami 77 | UNC 62	home	Ron Groover	Sean Hull	John Gaffney	44.62	26.9	44.83	116.35		
UNC 91 | Virginia Tech 72	home	Mike Eades	Roger Ayers	Michael Roberts	55.5	55.08	41.9	152.48	**	
UNC 90 | Boston College 82	away	Ed Corbett	Tony Greene	Brian O'Connell	38.08	39.4	42.24	119.72		
UNC 85 | Syracuse 68	home	Ron Groover	John Gaffney	Doug Shows	44.62	44.83	41.96	131.41		121.4564286
UNC 96 | Florida State 83	home	Roger Ayers	Lee Cassell	Tony Chiazza	55.08	42.41	36.38	133.87		
UNC 93 | Wake Forest 87	away	Mike Eades	Tim Comer	Brian O'Connell	55.5	31.49	42.24	129.23		
UNC 107 | North Carolina State 56	home	Ron Groover	Keith Kimble	Matt Potter	44.62	47.4	33.18	125.2		
UNC 89 | Clemson 86 (OT)	away	Tim Nestor	Lee Cassell	Jeff Clark	34	42.41	39.31	115.72		
Georgia Tech 75 | UNC 63	away	Brian Dorsey	Bill Covington Jr.	Tim Clougherty	48.31	32.26	29.17	109.74		
UNC 102 | Monmouth 74	home	Les Jones	Doug Sirmons	Jeb Hartness	41.25	46.59	32.43	120.27		
UNC 85 | Northern Iowa 42	home	Bert Smith	Lee Cassell	Brent Hampton	30.04	42.41	42.34	114.79		
Kentucky 103 | UNC 100	neutral	Roger Ayers	David Hall	Verne Harris	55.08	42.36	44.87	142.31		
UNC 73 | Tennessee 71	home	Mike Eades	Jeff Clark	Doug Shows	55.5	39.31	45.12	139.93		
UNC 83 | Davidson 74	home	Ted Valentine	Ron Groover	Keith Kimble	50.33	44.62	47.4	142.35		
UNC 95 | Radford 50	home	Michael Stephens	Tim Nestor	Tim Clougherty	47.37	34	29.17	110.54		
Indiana 76 | UNC 67	away	Terry Wymer	Bo Boroski	Gene Steratore	51.56	46.19	34.38	132.13		
UNC 71 | Wisconsin 56	neutral	Ted Valentine	Chris Rastatter	Earl Walton	50.33	40.12	39.01	129.46		
UNC 107 | Okla. State 75	neutral	Ted Valentine	Tom Eades	Donnee Eppley	50.33	39.52	40.58	130.43		
UNC 104 | Chaminade 61	neutral	Chris Rastatter	Bob Staffan	Donnee Eppley	39.53	24.96	40.58	105.07		
UNC 83 | Hawai'i 68	away	Gregory Nixon	Tommy Nunez	Daryl Gelinas	28.16	22.54	17.96	68.66		
UNC 93 | LBSU 67	home	Roger Ayers	John Higgins	Les Jones	55.08	51.12	41.25	147.45	**	
UNC 97 | Chattanooga 57	home	Ted Valentine	Raymond Styons Jr.	Tim Comer	50.33	32.01	31.49	113.83		
UNC 95 | Tulane 75	away	John Hampton	Doug Sirmons	Jeb Hartness	28.72	46.59	32.43	107.74		
UNC vs Duke	away	Roger Ayers	Mike Eades	Michael Roberts	55.08	55.5	41.9	152.48	** 	
										
										
|   Type  | Avg KenPom Rtg |										
|:-------:|:--------------:|										
|   Home  |     127.33     |										
|   Away  |     115.66     |										
| Neutral |     126.10     |										
|   ACC   |     125.99     |										
| Non-ACC |     121.46     |										
