Season,Date,Opponent,Result,Type,Pace,UNC PPP,UNC eFG%,UNC TO%,UNC OR%,UNC FTRate,UNC 2PTM,UNC 2PTA,UNC 2PT%,UNC 3PTM,UNC 3PTA,UNC 3PT%,UNC 3PTRate,UNC FTM,UNC FTA,UNC FT%,OPP PPP,OPP eFG%,OPP TO%,OPP OR%,OPP FTRate,OPP 2PTM,OPP 2PTA,OPP 2PT%,OPP 3PTM,OPP 3PTA,OPP 3PT%,OPP 3PTRate,OPP FTM,OPP FTA,OPP FT%,UNC Fouls,OPP Fouls,TOTAL FOULS,Ref 1,Ref 2 ,Ref 3,POINT SPREAD
2020-21,19-Mar-21,Wisconsin,L,NCAA Tournament 1st Round,66,0.94,42.3,15.1,30,15.4,20,52,38.5,5,13,38.5,20,7,10,70,1.29,61.5,10.6,29,16.7,18,34,52.9,13,27,48.1,44.3,10,12,83.3,14,11,25,Jeff Clark,Terry Oglesby,Mike Reed,-1
2020-21,12-Mar-21,Florida State,L,ACC Tournament Semifinal,71,0.93,38.2,16.9,42,36.8,17,50,34,6,18,33.3,26.5,14,25,56,0.97,50,25.3,32.3,41.5,19,40,47.5,5,13,38.5,24.5,16,22,72.7,18,19,37,Roger Ayers,Bert Smith,Clarence Armstrong,3
2020-21,11-Mar-21,Virginia Tech,W,ACC Tournament Quarterfinal,72,1.12,50.8,15.3,37.5,42.9,20,42,47.6,8,21,38.1,33.3,17,27,63,1.01,53.3,15.3,20,26.7,20,42,47.6,8,18,44.4,30,9,16,56.2,17,19,36,Ron Groover,Lee Cassell,Brian Dorsey,-3
2020-21,10-Mar-21,Notre Dame,W,ACC Tournament 2nd Round,71,1.42,56.5,15.5,61,23.4,30,53,56.6,9,24,37.5,31.2,14,18,77.8,0.83,36.9,22.5,34.1,29.5,12,35,34.3,7,26,26.9,42.6,14,18,77.8,15,16,31,Ted Valentine,A.J. Desai,Justin Porterfield,-7.5
2020-21,6-Mar-21,Duke,W,League,80,1.14,62.5,25,29.6,46.4,23,38,60.5,8,18,44.4,32.1,21,26,80.8,0.91,44.2,18.8,28.6,23.2,23,42,54.8,5,27,18.5,39.1,12,16,75,15,22,37,Ron Groover,Bert Smith,Brian Dorsey,-2.5
2020-21,1-Mar-21,Syracuse,L,League,72,0.97,41.2,27.8,56.5,32.4,22,48,45.8,4,20,20,29.4,14,22,63.6,1,47,16.7,32.5,21.2,19,39,48.7,8,27,29.6,40.9,10,14,71.4,16,18,34,Roger Ayers,Jamie Luckie,Clarence Armstrong,-1.5
2020-21,27-Feb-21,Florida State,W,League,75,1.03,42.5,27.9,52.6,50,18,37,48.6,5,23,21.7,38.3,27,30,90,0.93,42.5,22.6,42.9,29.9,21,50,42,5,17,29.4,25.4,13,20,65,18,22,40,Ted Valentine,Pat Driscoll,Bill Covington Jr.,1.5
2020-21,24-Feb-21,Marquette,L,Non-Conference,76,0.92,45.8,25,33.3,36.7,20,42,47.6,5,18,27.8,30,15,22,68.2,1.09,59.8,23.7,26.7,35.7,20,32,62.5,9,24,37.5,42.9,16,20,80,20,17,37,Brian Dorsey,Lamar Simpson,Tommy Morrissey,-9.5
2020-21,20-Feb-21,Louisville,W,League,73,1.36,66.7,15.2,47.1,26.1,34,51,66.7,8,18,44.4,26.1,7,18,38.9,0.74,33.6,22,35.6,17.9,21,51,41.2,1,16,6.2,23.9,9,12,75,13,18,31,Ron Groover,John Higgins,Jeb Hartness,-5.5
2020-21,17-Feb-21,Northeastern,W,Non-Conference,74,1.11,46,13.4,40.5,21.3,27,58,46.6,5,17,29.4,22.7,13,16,81.2,0.84,44.1,21.5,20.5,22,11,29,37.9,10,30,33.3,50.8,10,13,76.9,11,14,25,John Gaffney,Bill Covington Jr.,Jeff Pon,-16.5
2020-21,13-Feb-21,UVA,L,League,58,0.83,36.2,13.7,30,20.7,18,42,42.9,2,16,12.5,27.6,6,12,50,1.03,50,10.3,17.1,39.6,9,26,34.6,10,22,45.5,45.8,12,19,63.2,18,14,32,Bert Smith,Pat Driscoll,Earl Walton,6.5
2020-21,6-Feb-21,Duke,W,League,76,1.2,60.9,21.1,40,34.4,24,49,49,10,15,66.7,23.4,13,22,59.1,1.15,61.9,19.8,29.4,10.4,25,42,59.5,11,25,44,37.3,4,7,57.1,13,18,31,Ted Valentine,Roger Ayers,Mike Roberts,3
2020-21,2-Feb-21,Clemson,L,League,65,0.77,44.3,26.2,22.6,47.7,12,25,48,5,19,26.3,43.2,11,21,52.4,0.97,47.4,10.8,11.4,21.1,15,34,44.1,8,23,34.8,40.4,9,12,75,16,17,33,Doug Shows,Keith Kimble,Brent Hampton,-2.5
2020-21,26-Jan-21,Pittsburgh,W,League,65,1.15,55.7,20,43.8,22.9,28,44,63.6,4,17,23.5,27.9,7,14,50,1,47.3,17,32.4,30.9,17,40,42.5,6,15,40,27.3,13,17,76.5,15,13,28,Ron Groover,Jeb Hartness,Jeffrey Anderson,-3.5
2020-21,23-Jan-21,NC State,W,League,76,1.13,57.4,17.1,37.8,26.5,33,57,57.9,4,11,36.4,16.2,8,18,44.4,1,51.5,14.5,18.9,19.7,25,48,52.1,6,18,33.3,27.3,8,13,61.5,15,17,32,Roger Ayers,Pat Driscoll,Tony Henderson,-6
2020-21,20-Jan-21,Wake Forest,W,League,77,1.04,49.2,15.6,27.8,43.5,26,53,49.1,3,9,33.3,14.5,19,27,70.4,0.95,50,26,26.3,28.8,10,25,40,13,34,38.2,57.6,14,17,82.4,19,16,36,Clarence Armstrong,Michael Stephens,Mike Roberts,-11
2020-21,16-Jan-21,Florida State,L,League,70,1.07,51.6,19.9,38.2,22.6,17,38,44.7,10,24,41.7,38.7,11,14,78.6,1.17,56,24.2,36,54,16,34,47.1,8,16,50,32,26,27,96.3,20,16,36,Bert Smith,A.J. Desai,Lamar Simpson,4
2020-21,12-Jan-21,Syracuse,W,League,70,1.16,43.1,15.6,53.3,31.5,24,49,49,5,24,20.8,32.9,18,23,78.3,1.07,55,19.9,29.4,20,18,31,58.1,10,29,34.5,48.3,9,12,75,17,16,33,Brian O'Connell,John Gaffney,Tommy Morrissey,-5
2020-21,5-Jan-21,Miami,W,League,76,0.88,41.8,26.2,34.1,36.1,12,41,29.3,9,20,45,32.8,16,22,72.7,0.86,37.3,18.3,27.9,34.9,19,47,40.4,3,16,18.8,25.4,18,22,81.8,23,17,40,Michael Stephens,Brian O'Connell,Pat Adams,-3.5
2020-21,2-Jan-21,Notre Dame,W,League,64,1.03,40.6,12.6,46.7,20.3,16,46,34.8,8,23,34.8,33.3,10,14,71.4,1.02,57.3,15.7,10,10.9,15,25,36.7,11,30,36.7,54.5,2,6,33.3,10,11,21,Raymond Styons,Keith Kimble,Lamar Simpson,-10
2020-21,30-Dec-20,Georgia Tech,L,League,70,0.96,51.8,25.7,30.3,25,17,36,47.2,8,20,40,35.7,9,14,64.3,1.03,62.8,18.5,6.9,31.4,17,29,58.6,10,22,45.5,43.1,8,16,50,19,17,36,Ron Groover,Lee Cassell,Clarence Armstrong,-3.5
2020-21,22-Dec-20,NC State,L,League,77,0.99,45.7,23.4,45,24.3,29,58,50,2,12,16.7,17.1,12,17,70.6,1.03,53.1,18.2,30.8,31.2,22,47,46.8,8,17,47.1,26.6,11,20,55,19,19,38,Ted Valentine,Bert Smith,A.J. Desai,-1.5
2020-21,19-Dec-20,Kentucky,W,Non-Conference,70,1.07,46.7,15.7,34.9,47.5,21,41,51.2,5,20,25,32.8,18,29,62.1,0.9,42.5,22.9,37.8,56.6,18,40,45,3,13,23.1,24.5,18,30,60,25,30,55,Eric Curry,Pat Evans,Terry Wymer,-3.5
