season,Opponent,Result,UNC Score,Opponent Score,OT,Ref 1,Ref 2,Ref 3,UNC Tech ,UNC Tech Type,Opp Tech,Opp Tech Type,UNC Fouls,Opp Fouls,Sum Fouls
2018-19,Virginia,W,103,82,,Doug Shows,John Higgins,Terry Wymer,,,1,Kerry Blackshear,13,18,31
2018-19,Miami,W,85,76,,Bert Smith,Jeffrey Anderson,Brent Hampton,,,,Team,19,15,34
2018-19,Kentucky,L,72,80,,Ted Valentine,Chris Rastatter,Patrick Evans,,,,Team,19,18,37
2017-18,Georgia Tech,W,80,66,,Ted Valentine,Bill Covington Jr.,Jeb Hartness,,,,Jose Alvarado,12,23,35
2017-18,Ohio State,W,86,72,,Tom Eades,Pat Evans,Roger Ayers,,,,Team,17,22,39
2016-17,Miami,L,62,77,,Ron Groover,Sean Hull,John Gaffney,,Joel Berry II,,,25,20,45
2016-17,Kentucky,L,100,103,,Roger Ayers,David Hall,Verne Harris,,Team,,,21,20,41
2016-17,Duke,W,90,83,,Ron Groover,Tim Nestor,Les Jones,,,,Grayson Allen,22,17,39
2016-17,NC State,W,107,56,,Ron Groover,Keith Kimble,Matt Potter,,,,Team,13,18,31
2016-17,Monmouth,W,102,74,,Les Jones,Doug Sirmons,Jeb Hartness,,,3,"Je'lon Hornbeak, Josh James, Team",25,30,55
2015-16,Notre Dame,W,88,74,,Michael Stephens,Ed Corbett,Tom Eades,,Brice Johnson,,,17,18,35
2015-16,Wake Forest,W,83,68,,Jamie Luckie,Tim Comer,Tim Kelly,,,,Team,17,24,41
2015-16,Florida State,W,106,90,,Mike Eades,Terry Wymer,Mike Roberts,,,,Chris Koumadje,28,22,50
2015-16,Northern Iowa,L,67,71,,Mike Stuart,Gerry Pollard,Don Daily,,,,Team,21,16,37
2015-16,Temple,W,91,67,,Michael Stephens,Lamar Simpson,Mike Roberts,,,,Levan S. Alston Jr.,16,19,35
2014-15,William & Mary,W,86,64,,Jamie Luckie,Louie Andrakakos,Andrew Marotta,,Team,,,20,15,35
2013-14,Miami,L,57,63,,Bryan Kersey,Brian Dorsey,Gary Maxwell,,Joel James,,,19,19,38
2013-14,Wake Forest,L,67,73,,Mike Eades,Mike Roberts,Doug Shows,,Leslie McDonald,,,23,14,37
2013-14,Wake Forest,W,105,72,,Les Jones,Ray Natili,Dwayne Gladden,,,,Tyler Cavanaugh,19,22,41
2013-14,Boston College,W,82,71,,Tim Nestor,Tim Comer,Bill Covington Jr.,,,,Team,22,22,44
2013-14,Texas,L,83,86,,Karl Hess,Les Jones,Bryan Kersey,,,,Isaiah Taylor,24,31,55
2013-14,Kentucky,W,82,77,,Roger Ayers,Mike Eades,Joe Lindsay,,,,Team,26,30,56
2013-14,UNCG,W,81,50,,Les Jones,Mike Roberts,Sean Casady,,,,Tevon Saddler,15,20,35
2012-13,Miami,L,61,87,,Jamie Luckie,Tim Nestor,Gary Maxwell,,,,Julian Gamble,15,7,22
2012-13,Florida Atlantic,W,70,56,,Bryan Kersey,Raymond Styons,Andrew Marotta,,,,Andre Mattison,19,20,39
2011-12,Creighton,W,87,73,,Pat Driscoll,Mike Stuart,Tom O'Neill,,John Henson,,,8,18,26
2011-12,Georgia Tech,W,93,81,,Jamie Luckie,Roger Ayers,Ray Perone,,Team,,,11,17,28
2011-12,Florida State,L,57,90,,Jamie Luckie,Mike Eades,Sean Corbin,,John Henson,,,21,23,44
2011-12,Maryland,W,88,64,,Brian Dorsey,Tim Kelly,Jeff Clark,,,,Team,20,25,45
