Season,Opponent,Result,UNC Score,Opp Score,Ref 1,Ref 2,Ref 3,Point Spread
2019-20,Wake Forest,L,57,74,John Gaffney,Raymond Styons,Pat Driscoll,-1.5
2019-20,Duke,L,96,98,Ted Valentine,Brian Dorsey,Ron Groover,8
2019-20,Florida State,L,59,65,Jeffrey Anderson,Doug Shows,Mike Roberts,9.5
2019-20,Boston College,L,70,71,Jamie Luckie,Clarence Armstong,Matt Potter,-11.5
2019-20,NC State,W,75,65,Roger Ayers,Mike Eades,Bert Smith,5.5
2019-20,Miami ,W,94,71,Ron Groover,Michael Stephens,Pat Driscoll,-5.5
2019-20,Virginia Tech,L,77,79,Jeffrey Anderson,Tony Henderson,Tommy Morrissey,6.5
2019-20,Pittsburgh,L,52,66,Tim Clougherty,Keith Kimble,A.J. Desai,3.5
2019-20,Clemson,L,76,79,Bill Covington Jr.,Bert Smith,Jeff Pon,-3
2019-20,Pittsburgh,L,65,73,Roger Ayers,Mike Eades,Brent Hampton,-5
2019-20,Georgia Tech,L,83,96,Brian Dorsey,Lee Cassell,Sean Hull,-8.5
2019-20,Yale,W,70,67,Ted Valentine,A.J. Desai,Mark Schnur,-7
2019-20,UCLA,W,74,64,Roger Ayers,Keith Kimble,Terry Wymer,-4.5
2019-20,Gonzaga,L,81,94,Bert Smith,Randy McCall,Mike Reed,14
2019-20,Wofford,L,64,68,Mike Eades,A.J. Desai,Evan Burroughs,-12
2019-20,UVA,L,47,56,Ron Groover,Jamie Luckie,Bill Covington Jr.,3.5
2019-20,Ohio State,L,49,74,Ted Valentine,Pat Driscoll,Mike Eades,-4
2019-20,Oregon,W,78,74,Tony Padilla,Mike Roberts,Jeb Hartness,2.5
2019-20,Michigan,L,73,64,Gerry Pollard,Mike Roberts,Gary Maxwell,-3.5
2019-20,Alabama,W,76,67,Tony Padilla,Mike Reed,Chance Moore,-9.5
2019-20,Elon,W,75,61,Ron Groover,Bill Covington Jr.,Raymond Styons,-30.5
2019-20,Gardner Webb,W,77,61,Ted Valentine,Jeffrey Anderson,Trey Styons,-25.5
2019-20,UNC-Wilmington,W,78,62,Bill Covington Jr.,Jerry Heater,Mark Schnur,-19.5
2019-20,Notre Dame,W,76,65,Roger Ayers,Bert Smith,Ron Groover,-9.5
2018-19,Auburn,L,80,97,Michael Stephens,Gerry Pollard,Mike Reed,-4.5
2018-19,Washington,W,81,59,John Higgins,Ron Groover,Michael Irving,-12
2018-19,Iona,W,88,73,Don Daily,Todd Austin,Jose Carrion,-22.5
2018-19,Duke,L,73,74,Roger Ayers,Jamie Luckie,Clarence Armstrong,3.5
2018-19,Louisville,W,83,70,Ted Valentine,Lee Cassell,Tony Henderson,-6
2018-19,Duke,W,79,70,Roger Ayers,Ted Valentine,Bill Covington Jr.,-4.5
2018-19,Boston College,W,79,66,Jeff Clark,Brian O'Connell,James Breeding,-10.5
2018-19,Clemson,W,81,79,Ron Groover,Jeffrey Anderson,Clarence Armstrong,-4
2018-19,Syracuse,W,93,85,Jamie Luckie,Lee Cassell,Bill Covington Jr.,-11
2018-19,Florida State,W,77,59,Bert Smith,Michael Stephens,Brent Hampton,-7
2018-19,Duke,W,88,72,Mike Eades,Brian Dorsey,Ron Groover,9.5
2018-19,Wake Forest,W,95,57,A.J. Desai,Tim Clougherty,Brian O'Connell,-16.5
2018-19,UVA,L,61,69,Jeffrey Anderson,Doug Shows,James Breeding,0
2018-19,Miami ,W,88,85,Roger Ayers,Bill Covington Jr.,Tony Henderson,-16
2018-19,NC State,W,113,96,Michael Stephens,Jeff Clark,Brent Hampton,-10.5
2018-19,Louisville,W,79,69,Ted Valentine,Earl Walton,Bert Smith,-1.5
2018-19,Georgia Tech,W,77,54,Roger Ayers,Jeffrey Anderson,Pat Driscoll,-11
2018-19,Virginia Tech,W,103,82,Doug Shows,John Higgins,Terry Wymer,-4
2018-19,Miami,W,85,76,Bert Smith,Jeffrey Anderson,Brent Hampton,-6.5
2018-19,Notre Dame,W,75,69,Roger Ayers,Jamie Luckie,Ted Valentine,-13
2018-19,Louisville,L,62,83,Mike Eades,Bill Covington Jr.,Tony Henderson,-11
